Aktive/Passive,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Year,Amount
Aktiva,,,,,1999,11734
Aktiva,Sachvermögen,,,,1999,8977.1
Aktiva,Alle Anlagegüter 1),,,,1999,6609.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,1999,6335.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,1999,7
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,1999,945
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,1999,5383.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,1999,3076.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,1999,2306.9
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,1999,273.6
Aktiva,Grund und Boden  ,,,,1999,2367.7
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,1999,2101.6
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,1999,2756.9
Aktiva,,,,,2000,12515.4
Aktiva,Sachvermögen,,,,2000,9216.1
Aktiva,Alle Anlagegüter 1),,,,2000,6782.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2000,6495.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2000,7.2
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2000,987.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2000,5500.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2000,3149.7
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2000,2350.8
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2000,287.8
Aktiva,Grund und Boden  ,,,,2000,2433.2
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2000,2163.9
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2000,3299.3
Aktiva,,,,,2001,13139.3
Aktiva,Sachvermögen,,,,2001,9390.6
Aktiva,Alle Anlagegüter 1),,,,2001,6891.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2001,6589.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2001,6.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2001,1010.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2001,5572.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2001,3201.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2001,2371.3
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2001,302.4
Aktiva,Grund und Boden  ,,,,2001,2498.8
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2001,2219.8
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2001,3748.7
Aktiva,,,,,2002,13303.7
Aktiva,Sachvermögen,,,,2002,9493.6
Aktiva,Alle Anlagegüter 1),,,,2002,6944.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2002,6630.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2002,6.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2002,1012
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2002,5611.7
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2002,3242.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2002,2368.8
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2002,314.3
Aktiva,Grund und Boden  ,,,,2002,2549.2
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2002,2269.4
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2002,3810.1
Aktiva,,,,,2003,13559.2
Aktiva,Sachvermögen,,,,2003,9583.1
Aktiva,Alle Anlagegüter 1),,,,2003,6991.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2003,6668.2
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2003,6.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2003,1000.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2003,5661.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2003,3284.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2003,2377
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2003,323.3
Aktiva,Grund und Boden  ,,,,2003,2591.6
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2003,2319.9
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2003,3976.1
Aktiva,  ,,,,2004,14059.6
Aktiva,Sachvermögen,,,,2004,9757.8
Aktiva,Alle Anlagegüter 1),,,,2004,7115.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2004,6783
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2004,6.8
